pedestrianId simTime groupId-PID5
1 0.1 0
2 0.1 0
3 0.1 0
4 0.1 0
5 0.1 0
6 0.1 0
7 0.1 0
8 0.1 0
9 0.1 0
10 0.1 0
11 0.1 1
12 0.1 1
13 0.1 1
14 0.1 1
15 0.1 1
16 0.1 1
17 0.1 1
18 0.1 1
19 0.1 1
20 0.1 1
21 0.1 1
22 0.1 1
23 0.1 1
24 0.1 1
25 0.1 1
26 0.1 1
27 0.1 1
28 0.1 1
29 0.1 1
30 0.1 1
31 0.1 1
32 0.1 1
33 0.1 1
34 0.1 1
35 0.1 1
36 0.1 1
37 0.1 1
38 0.1 1
39 0.1 1
40 0.1 1
41 0.1 1
42 0.1 1
43 0.1 1
44 0.1 1
45 0.1 1
46 0.1 1
47 0.1 1
48 0.1 1
49 0.1 1
50 0.1 1
51 0.1 1
52 0.1 1
53 0.1 1
54 0.1 1
55 0.1 1
56 0.1 1
57 0.1 1
58 0.1 1
59 0.1 1
60 0.1 1
61 0.1 1
62 0.1 1
63 0.1 1
64 0.1 1
65 0.1 1
66 0.1 1
67 0.1 1
68 0.1 1
69 0.1 1
70 0.1 1
71 0.1 1
72 0.1 1
73 0.1 1
74 0.1 1
75 0.1 1
76 0.1 1
77 0.1 1
78 0.1 0
79 0.1 1
80 0.1 1
81 0.1 1
82 0.1 1
83 0.1 1
84 0.1 1
85 0.1 1
86 0.1 1
87 0.1 1
88 0.1 1
89 0.1 1
90 0.1 1
91 0.1 1
92 0.1 1
93 0.1 1
94 0.1 1
95 0.1 1
96 0.1 1
97 0.1 1
98 0.1 1
99 0.1 1
100 0.1 1
11 0.6 1
12 0.6 1
22 0.6 1
25 0.6 1
43 0.6 1
55 0.6 1
77 0.6 1
88 0.6 1
97 0.6 1
99 0.6 1
1 0.7 0
2 0.7 0
3 0.7 0
4 0.7 0
5 0.7 0
6 0.7 0
7 0.7 0
8 0.7 0
9 0.7 0
10 0.7 0
13 0.7 1
14 0.7 1
15 0.7 1
16 0.7 1
17 0.7 1
18 0.7 1
19 0.7 1
20 0.7 1
21 0.7 1
23 0.7 1
24 0.7 1
26 0.7 1
27 0.7 1
28 0.7 1
29 0.7 1
30 0.7 1
31 0.7 1
32 0.7 1
33 0.7 1
34 0.7 1
35 0.7 1
36 0.7 1
37 0.7 1
38 0.7 1
39 0.7 1
40 0.7 1
41 0.7 1
42 0.7 1
44 0.7 1
45 0.7 1
46 0.7 1
47 0.7 1
48 0.7 1
49 0.7 1
50 0.7 1
51 0.7 1
52 0.7 1
53 0.7 1
54 0.7 1
56 0.7 1
57 0.7 1
58 0.7 1
59 0.7 1
60 0.7 1
61 0.7 1
62 0.7 1
63 0.7 1
64 0.7 1
65 0.7 1
66 0.7 1
67 0.7 1
68 0.7 1
69 0.7 1
70 0.7 1
71 0.7 1
72 0.7 1
73 0.7 1
74 0.7 1
75 0.7 1
76 0.7 1
78 0.7 0
79 0.7 1
80 0.7 1
81 0.7 1
82 0.7 1
83 0.7 1
84 0.7 1
85 0.7 1
86 0.7 1
87 0.7 1
89 0.7 1
90 0.7 1
91 0.7 1
92 0.7 1
93 0.7 1
94 0.7 1
95 0.7 1
96 0.7 1
98 0.7 1
100 0.7 1
1 1.2 0
7 1.2 0
9 1.2 0
11 1.2 1
12 1.2 1
17 1.2 1
22 1.2 1
25 1.2 1
29 1.2 1
30 1.2 1
35 1.2 1
36 1.2 1
37 1.2 1
40 1.2 1
41 1.2 1
42 1.2 1
43 1.2 1
44 1.2 1
45 1.2 1
46 1.2 1
47 1.2 1
55 1.2 1
56 1.2 1
62 1.2 1
65 1.2 1
72 1.2 1
74 1.2 1
77 1.2 1
78 1.2 0
80 1.2 1
86 1.2 1
88 1.2 1
91 1.2 1
93 1.2 1
96 1.2 1
97 1.2 1
99 1.2 1
2 1.3 0
3 1.3 0
4 1.3 0
5 1.3 0
8 1.3 0
10 1.3 0
14 1.3 1
15 1.3 1
18 1.3 1
19 1.3 1
20 1.3 1
23 1.3 1
24 1.3 1
26 1.3 1
27 1.3 1
28 1.3 1
31 1.3 1
32 1.3 1
34 1.3 1
38 1.3 1
39 1.3 1
48 1.3 1
49 1.3 1
50 1.3 1
51 1.3 1
52 1.3 1
53 1.3 1
54 1.3 1
57 1.3 1
58 1.3 1
63 1.3 1
64 1.3 1
66 1.3 1
67 1.3 1
68 1.3 1
69 1.3 1
70 1.3 1
71 1.3 1
73 1.3 1
75 1.3 1
76 1.3 1
79 1.3 1
81 1.3 1
82 1.3 1
83 1.3 1
84 1.3 1
85 1.3 1
87 1.3 1
89 1.3 1
90 1.3 1
92 1.3 1
94 1.3 1
98 1.3 1
100 1.3 1
6 1.4 0
13 1.4 1
16 1.4 1
21 1.4 1
33 1.4 1
59 1.4 1
60 1.4 1
61 1.4 1
95 1.4 1
11 1.7 1
12 1.7 1
22 1.7 1
25 1.7 1
43 1.7 1
55 1.7 1
77 1.7 1
88 1.7 1
97 1.7 1
99 1.7 1
1 1.8 0
4 1.8 0
7 1.8 0
8 1.8 0
9 1.8 0
10 1.8 0
17 1.8 1
27 1.8 1
29 1.8 1
30 1.8 1
32 1.8 1
35 1.8 1
36 1.8 1
37 1.8 1
40 1.8 1
41 1.8 1
42 1.8 1
44 1.8 1
45 1.8 1
